route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id
100272,62763,12437968,"SEACREST MARINA ","LOCAL",1,4194723,10773038,0,100
100272,62763,12437969,"SEACREST MARINA ","LOCAL",1,4194722,10773038,0,100
100272,62763,12437970,"SEACREST MARINA ","LOCAL",1,4194723,10773038,0,100
100272,62763,12437971,"SEACREST MARINA ","LOCAL",1,4194722,10773038,0,100
100272,62763,12437972,"SEACREST MARINA ","LOCAL",1,4194723,10773042,0,100
100272,62763,12437973,"SEACREST MARINA ","LOCAL",1,4194722,10773042,0,100
100272,62763,12437974,"SEACREST MARINA ","LOCAL",1,4194723,10773042,0,100
100272,62763,12437975,"SEACREST MARINA ","LOCAL",1,4194722,10773042,0,100
100272,62763,12437976,"SEACREST MARINA ","LOCAL",1,4194723,10773042,0,100
100272,62763,12437977,"SEACREST MARINA ","LOCAL",1,4194722,10773042,0,100
100272,62763,12437978,"SEACREST MARINA ","LOCAL",1,4194723,10773042,0,100
100272,62763,12437989,"ALASKA JUNCTION ","LOCAL",0,4194723,21773043,0,100
100272,62763,12437990,"ALASKA JUNCTION ","LOCAL",0,4194722,21773043,0,100
100272,62763,12437991,"ALASKA JUNCTION ","LOCAL",0,4194723,21773043,0,100
100272,62763,12437992,"ALASKA JUNCTION ","LOCAL",0,4194722,21773043,0,100
100272,62763,12437993,"ALASKA JUNCTION ","LOCAL",0,4194723,21773043,0,100
100272,62763,12437994,"ALASKA JUNCTION ","LOCAL",0,4194722,21773043,0,100
100272,62763,12437995,"ALASKA JUNCTION ","LOCAL",0,4194723,21773032,0,100
100272,62763,12437996,"ALASKA JUNCTION ","LOCAL",0,4194722,21773032,0,100
100272,62763,12437997,"ALASKA JUNCTION ","LOCAL",0,4194723,21773032,0,100
100481,62763,12438010,"ALKI ","LOCAL",0,4194723,11775001,0,100
100481,62763,12438011,"ALKI ","LOCAL",0,4194722,11775001,0,100
100481,62763,12438012,"ALKI ","LOCAL",0,4194723,11775001,0,100
100481,62763,12438013,"ALKI ","LOCAL",0,4194722,11775001,0,100
100481,62763,12438014,"ALKI ","LOCAL",0,4194723,11775001,0,100
100481,62763,12438015,"ALKI ","LOCAL",0,4194722,11775001,0,100
100481,62763,12438016,"ALKI ","LOCAL",0,4194723,11775001,0,100
100481,62763,12438017,"ALKI ","LOCAL",0,4194722,11775001,0,100
